DV,A,B,C,S,I
741,2,2,1,6,95
430,1,1,1,6,87
457,1,1,2,6,37
566,1,2,2,6,20
468,1,1,1,6,33
353,1,1,1,6,50
396,1,2,1,6,30
373,1,1,2,6,10
696,1,2,1,6,61
546,1,2,2,6,9
369,1,1,2,6,93
400,1,1,1,6,32
396,1,1,1,6,108
575,2,2,1,6,91
456,1,2,1,6,115
584,1,2,1,6,54
610,2,2,2,6,75
465,1,2,1,6,103
459,1,1,1,6,117
627,2,2,1,6,88
552,2,1,1,6,96
524,2,2,1,6,8
378,1,1,2,6,44
937,2,2,1,6,80
592,1,2,1,6,45
971,2,1,2,6,31
634,1,2,1,6,110
551,2,1,2,6,111
662,2,2,2,6,27
600,2,2,1,6,28
608,1,1,1,6,60
596,2,2,2,6,100
543,1,2,2,6,76
517,2,1,1,6,71
469,2,1,1,6,81
700,1,2,2,6,73
554,2,1,2,6,114
480,1,2,1,6,23
444,1,1,1,6,66
517,1,2,2,6,51
552,1,1,1,6,24
608,1,2,1,6,14
611,1,2,1,6,106
469,1,1,2,6,56
441,2,2,2,6,102
536,2,1,2,6,62
416,1,1,2,6,89
589,1,2,1,6,90
719,2,2,2,6,13
541,1,1,2,6,99
493,1,1,2,6,21
616,2,1,2,6,63
1179,2,1,2,6,22
540,2,2,1,6,36
573,2,1,2,6,12
497,2,2,2,6,98
565,2,1,2,6,39
664,2,2,2,6,38
533,1,1,2,6,113
983,2,2,2,6,69
825,2,2,1,6,78
579,1,2,2,6,41
586,2,1,1,6,46
417,1,1,1,6,94
477,1,1,2,6,57
501,1,2,2,6,25
477,1,2,2,6,59
548,2,1,1,6,118
463,2,2,1,6,84
491,1,2,1,6,101
633,2,1,1,6,40
601,2,2,2,6,104
400,1,1,2,6,68
483,2,2,1,10,42
581,1,1,2,10,51
331,1,1,1,10,54
489,2,2,1,10,79
561,1,2,1,10,66
547,2,1,1,10,84
586,2,1,1,10,36
435,2,1,2,10,58
454,1,1,2,10,9
485,1,2,2,10,113
593,2,2,1,10,29
701,2,2,1,10,53
503,1,1,1,10,23
613,2,2,1,10,71
785,2,1,2,10,102
621,2,2,2,10,3
577,1,1,2,10,59
569,1,1,2,10,20
461,1,2,1,10,32
582,2,1,2,10,2
535,1,1,2,10,97
562,1,2,1,10,92
409,2,2,1,10,46
611,1,2,1,10,4
454,1,1,1,10,101
567,2,1,2,10,27
488,2,2,1,10,1
367,1,1,1,10,30
418,1,1,2,10,73
508,2,1,1,10,91
447,1,2,2,10,83
506,2,1,2,10,100
555,2,2,1,10,81
618,2,1,2,10,7
561,2,2,1,10,74
491,2,2,2,10,63
542,2,1,1,10,77
694,2,1,2,10,98
539,1,1,2,10,43
535,2,1,1,10,80
406,2,1,2,10,13
467,1,2,1,10,24
521,1,1,1,10,45
531,2,1,1,10,78
506,2,1,1,10,116
417,1,2,1,10,33
442,1,2,1,10,87
378,1,2,1,10,107
654,1,2,1,10,50
653,1,2,2,10,11
630,1,1,1,10,115
1294,2,1,2,10,47
608,1,1,1,10,106
343,1,1,1,10,65
588,2,2,1,10,70
406,2,1,2,10,64
489,2,1,2,10,38
535,1,2,2,10,10
1289,2,2,2,10,82
519,1,2,2,10,56
456,1,1,2,10,25
560,2,2,2,10,105
587,1,1,2,10,67
462,1,1,2,10,41
709,2,2,2,10,18
572,1,1,1,10,86
602,1,2,2,10,37
437,1,2,2,10,21
709,2,1,1,10,95
446,1,1,2,10,17
660,1,2,1,10,60
473,1,1,2,10,76
506,2,2,2,10,22
424,1,2,2,10,57
445,1,2,1,10,94
454,1,2,2,10,44
529,2,2,2,10,39
430,2,2,2,10,12
490,1,1,2,10,85
557,2,1,2,10,104
532,2,1,2,10,69
702,1,1,1,10,90
495,1,2,2,10,15
757,2,1,1,10,88
610,2,1,1,10,16
643,1,2,1,10,117
637,2,2,2,10,111
705,1,2,1,10,108
451,1,2,2,10,48
595,2,2,2,10,5
855,2,2,1,10,96
688,1,2,2,10,99
719,2,2,2,10,112
800,2,1,2,10,75
1813,1,2,2,10,89
539,2,2,1,10,118
394,1,1,1,10,103
635,1,2,2,10,68
557,2,2,1,10,19
774,2,1,1,10,72
604,2,1,1,10,8
484,2,2,2,10,31
1598,2,2,1,10,6
606,2,2,2,10,114
553,1,1,1,10,14
685,1,2,2,10,93
550,1,1,1,10,110
523,1,2,1,10,34
581,1,1,2,14,9
387,1,1,1,14,23
436,1,1,2,14,85
427,2,1,2,14,75
467,1,2,1,14,92
912,1,2,1,14,24
640,1,2,2,14,83
508,2,1,1,14,116
571,2,1,1,14,28
580,2,1,1,14,80
512,2,1,1,14,88
591,2,2,1,14,46
628,2,1,2,14,47
528,2,2,1,14,118
391,1,1,1,14,30
654,1,2,1,14,60
450,1,1,1,14,86
657,2,2,1,14,1
464,1,2,1,14,66
543,2,1,2,14,69
546,2,1,1,14,49
493,1,2,2,14,48
412,2,1,2,14,98
555,2,1,2,14,13
609,1,2,2,14,68
483,1,1,1,14,103
574,2,2,1,14,70
503,2,1,2,14,102
503,2,2,2,14,63
586,1,2,2,14,10
540,2,2,1,14,40
635,1,2,1,14,94
417,1,2,1,14,117
541,2,2,2,14,82
520,2,1,2,14,27
671,2,2,1,14,19
541,2,2,2,14,18
561,2,1,1,14,84
519,2,2,1,14,79
729,2,2,1,14,42
621,1,1,2,14,41
650,1,1,2,14,25
853,2,2,2,14,111
518,2,1,2,14,38
483,1,1,1,14,65
555,1,2,2,14,113
465,1,2,2,14,15
459,1,2,1,14,4
516,2,2,2,14,109
534,1,2,1,14,87
1044,1,2,1,14,50
580,1,2,2,14,11
747,1,1,2,14,51
541,1,1,2,14,97
635,2,2,2,14,31
506,1,2,1,14,108
617,1,2,2,14,89
480,1,1,1,14,14
491,2,2,1,14,53
497,1,2,2,14,93
537,2,2,1,14,29
511,1,1,1,14,45
514,2,2,1,14,96
699,2,2,1,14,81
527,1,1,2,14,17
856,1,2,2,14,44
589,2,1,1,14,16
483,1,1,2,14,55
510,1,1,2,14,20
741,2,1,1,14,8
486,2,1,1,14,77
421,1,1,1,14,54
530,2,1,2,14,64
614,1,1,2,14,76
534,2,1,2,14,7
535,1,1,2,14,67
736,2,2,2,14,39
